Batch_id,Batch_name,Batch_THF_ref,Batch_id,Date,Technicien_id,Batch_KC8,Masse_KC8,Volume_THF,Ref_plaque,Vitesse_agitation,Heure_debut,Lab_HR,Lab_T,BaG_T,BaG_H2O_ppm,BaG_O2_ppm,Observations,Batch_id,Date,Technicien_id,Ajout_THF_JourJ,Heure_ajout2,Volume_THF_ajout2,Heure_debut_sedimentation,Heure_fin_sedimentation,Sediments,Ctrl_visuel_couleur,Lab_HR,Lab_T,BaG_T,BaG_H2O_ppm,BaG_O2_ppm,Observations,Centrifugation,Batch_id,Date,Technicien_id,Debit_air_synthetique,Temps_oxidation,Lab_HR,Lab_T,Observations,Batch_id,Date,Technicien_id,m_OGD,m_THF,Abs_800,QC_Conc_OGD,QC_Categorie,Stockage_recipient,Stockage_Emplacement,Stockage_Utilisation,Observations
43,2314A,NA,43,2023-04-05,1,K14,10.0108,500.0,7,230.0,2023-04-05 09:45:00,20.0,21.0,0.0,0.09,0.2,AJOUT THF JOUR DE RECEPTION,43,2023-04-11,6,0,2023-04-11 08:20:00,500.0,2023-04-11 08:45:00,2023-04-11 10:15:00,NOIR ET OR,MARRON,28.9,23.6,0.0,0.09,0.5,,1,43,2023-04-11,6,0.1,0.0,28.3,23.9,,43,2023-04-11,1,0.0,0.0,0.0,0.42,-1,,,,None
44,2314B,NA,44,2023-04-06,2,K14,10.0,500.0,2,230.0,2023-04-06 10:24:00,25.0,23.0,0.0,0.09,0.2,,44,2023-04-12,2,0,2023-04-12 00:00:00,500.0,2023-04-12 09:10:00,2023-04-12 09:50:00,NOIR ET BRONZE,BRUN FONCE,40.0,23.0,0.0,0.09,0.5,,1,44,2023-04-12,2,0.1,0.0,40.0,23.0,,44,2023-04-12,1,0.32,3.172,0.0,0.925,-1,,,,None
46,2315A,NA,46,2023-04-12,2,K14,10.0,500.0,1,230.0,2023-04-12 10:03:00,40.4,22.5,0.0,0.09,0.5,,46,2023-04-18,2,0,2023-04-18 10:15:00,500.0,2023-04-18 09:10:00,2023-04-18 09:40:00,NOIR ET BRONZE,BRUN VERT,26.3,22.7,0.0,0.09,3.4,,1,46,2023-04-18,2,0.1,0.0,26.0,24.0,,46,2023-04-18,1,0.0,0.0,0.0,0.695,-1,,,,None
47,2315B,NA,47,2023-04-13,6,K14,10.0,500.0,2,230.0,2023-04-13 09:50:00,27.0,23.0,0.0,0.09,0.7,,47,2023-04-19,3,0,2023-04-19 09:10:00,500.0,2023-04-19 09:50:00,2023-04-19 10:20:00,OR ET NOIR,MARRON - ORANGE TRES FONCE - ROUGE,25.3,23.0,0.0,0.09,0.09,TUBE ORANGE TRES FOINCE APRES CENTRI,1,47,2023-04-19,3,0.1,0.0,23.8,24.9,,47,2023-04-19,1,0.0,0.0,0.0,0.769,-1,,,,None
49,2316A,NA,49,2023-04-19,3,K16,10.0081,500.0,1,230.0,2023-04-19 09:20:00,25.0,23.0,0.0,0.09,0.09,,49,2023-04-25,3,0,2023-04-25 08:30:00,500.0,2023-04-25 09:05:00,2023-04-25 09:35:00,OR ET NOIR,,37.9,22.4,0.0,0.09,0.2,RAS,1,49,2023-04-25,3,0.5,0.0,38.2,23.4,,49,2023-04-25,1,0.0,0.0,0.0,0.76,-1,,,,None
50,2316B,NA,50,2023-04-20,2,K16,10.0,500.0,2,230.0,2023-04-20 10:10:00,26.4,23.1,0.0,0.09,0.09,,50,2023-04-26,4,0,2023-04-26 08:30:00,500.0,2023-04-26 09:10:00,2023-04-26 09:55:00,NOIR ET OR,BRUN,49.0,23.0,0.0,0.09,0.3,TEINTE ROSE DANS TUBE CENTRI,1,50,2023-04-26,4,0.06,0.0,50.0,23.0,,50,2023-04-26,4,0.314,3.125,0.0,0.724,-1,,,,None
51,2316C,NA,51,2023-04-21,3,K16,10.0071,500.0,3,230.0,2023-04-21 10:58:00,21.2,23.2,0.0,0.09,0.09,,51,2023-04-27,3,0,2023-04-27 09:00:00,500.0,2023-04-27 09:20:00,2023-04-27 09:50:00,OR ET NOIR,MARRON,56.4,21.9,0.0,0.09,0.3,TUBES JAUNES,1,51,2023-04-27,3,0.04,0.0,56.0,22.8,,51,2023-04-27,3,0.0,0.0,0.0,0.58,-1,,,,None
52,2317A,NA,52,2023-04-26,4,K16,10.003,500.0,1,230.0,2023-04-26 09:00:00,49.0,23.0,0.0,0.09,0.2,AJOUT THF 30 SEC AVT RECEPTION,52,2023-05-02,4,0,2023-05-02 08:30:00,500.0,2023-05-02 09:00:00,2023-05-02 09:30:00,NOIR ET OR,BRUN FONCE,37.0,22.0,0.0,0.09,0.5,,1,52,2023-05-02,4,0.1,0.0,30.0,23.0,25 S FOR 100ML - 180 S FOR 700 ML,52,2023-05-02,4,0.0,0.0,0.0,1.33,-1,,,,None
53,2317B,NA,53,2023-04-27,3,K16,10.0028,500.0,2,230.0,2023-04-27 09:10:00,56.4,21.9,0.0,0.09,0.3,,53,2023-05-03,2,0,2023-05-03 00:00:00,500.0,2023-05-03 09:27:00,2023-05-03 10:06:00,NOIR ET OR,MARRON,31.0,22.0,0.0,0.09,0.7,,1,53,2023-05-03,4,0.1,200.0,35.0,25.0,NVS SYSTEME EN SCHLENK 1L,53,2023-05-03,4,0.0,0.0,0.0,0.73,-1,,,,None
54,2317C,NA,54,2023-04-28,4,K16,10.0947,500.0,3,230.0,2023-04-28 08:40:00,52.0,23.0,0.0,0.09,0.4,,54,2023-05-04,4,0,2023-05-04 09:36:00,500.0,2023-05-04 08:50:00,2023-05-04 09:00:00,,BRUN FONCE,39.0,24.0,0.0,0.09,0.7,STOCKAGE BaG AVT OXYDATION,1,54,2023-05-04,4,0.1,200.0,41.0,22.0,200 SEC FOR 800ML - PARTICULES FOND DE SHLENCK,54,2023-05-04,1,0.0,0.0,0.0,1.38,-1,,,,None
55,2318A,NA,55,2023-05-03,2,K17,10.01,500.0,1,230.0,2023-05-03 09:27:00,30.6,21.7,0.0,0.09,0.7,,55,2023-05-09,2,0,2023-05-09 08:58:00,500.0,2023-05-09 09:47:00,2023-05-09 10:21:00,NOIR ET OR,BRUN,50.0,22.0,0.0,0.09,1.1,,1,55,2023-05-09,4,0.1,0.0,50.0,23.0,,55,2023-05-09,1,0.319,3.039,0.0,0.657,-1,,,,None
56,2318B,NA,56,2023-05-04,4,K17,10.0618,500.0,2,203.0,2023-05-04 08:50:00,39.0,23.0,0.0,0.09,0.7,,56,2023-05-10,4,0,2023-05-10 09:04:00,500.0,2023-05-10 08:25:00,2023-05-10 08:55:00,BRUN ET UN PEU OR,BRUN,40.0,22.0,29.0,0.09,0.09,,1,56,2023-05-10,4,0.1,200.0,41.0,22.0,200 SEC FOR 800 ML,56,2023-05-10,1,0.0,0.0,0.0,1.13,-1,,,,None
57,2318C,NA,57,2023-05-05,4,K17,10.006,500.0,5,300.0,2023-05-05 08:30:00,41.0,23.0,30.0,0.09,0.7,ARRETE PUIS RELANCE A J+4,57,2023-05-11,3,0,2023-05-11 08:25:00,500.0,2023-05-11 00:00:00,2023-05-11 00:00:00,PAS DE SEDIMENTATION,JAUNE TRES CLAIR,40.7,21.6,29.1,0.09,0.09,PAS DE SEDIMENTATION,1,57,2023-05-11,1,0.1,0.0,40.0,21.0,OK,57,2023-05-11,1,0.0,0.0,0.0,0.15,-1,,,,None
58,2319A,NA,58,2023-05-09,2,K17,10.01,500.0,1,230.0,2023-05-09 10:08:00,52.0,22.6,30.2,0.09,0.8,,58,2023-05-15,3,0,2023-05-15 08:15:00,500.0,2023-05-15 08:45:00,2023-05-15 09:15:00,NOIR ET OR,JAUNE LEGEREMENT FONCE,50.5,20.6,0.0,0.09,0.09,PIPETAGE DIFFICILE,1,58,2023-05-15,3,0.1,200.0,38.6,22.7,,58,2023-05-15,1,0.0,0.0,0.0,0.57,-1,,,,None
